Country,Country Code,Year,Electricity PRODUCTION from wind (TWh),Electricity PRODUCTION from hydro (TWh),Electricity PRODUCTION from solar (TWh),PRODUCTION of other renewables including bioenergy (TWh),SHARE of Renewables (% electricity),Population Rank,Population,Hydro ELECTRIC SHARE ONLY  (% electricity),Hydro SHARE ALL (% equivalent primary energy),Electricity CONSUMPTION from hydro (TWh),Wind SHARE ELECTRIC ONLY  (% electricity),Wind SHARE ALL  (% equivalent primary energy),Electricity GENERATED from wind (TWh),Solar ELECTRICITY ONLY (% electricity),Solar SHARE ALL (% equivalent primary energy),Electricity CONSUMED from solar (TWh),City,Air Pollution
INDIA,IND,2020,60.43,163.71,58.68,32.93788,20.205925,2,1392329000,10.476033,4.808334,163.71,3.8670003,1.774786,60.43,3.7550154,1.7235659,58.68,Jaipur,44
INDIA,IND,2021,68.09,160.33,68.31,35.473618,19.384392,2,1392329000,9.355507,4.2628875,160.33,3.973158,1.8105556,68.09,3.9859955,1.8161811,68.31,Jaipur,57
INDIA,IND,2018,60.31,139.75,36.33,27.22409,16.694954,2,1392329000,8.850651,3.9928124,139.75,3.8195543,1.7231226,60.31,2.3008525,1.0380032,36.33,Jalandhar,56
INDIA,IND,2019,63.31,162.07,46.27,31.511576,18.691542,2,1392329000,9.99254,4.503677,162.07,3.9034224,1.7594463,63.31,2.8528092,1.2857383,46.27,Jalandhar,41
INDIA,IND,2020,60.43,163.71,58.68,32.93788,20.205925,2,1392329000,10.476033,4.808334,163.71,3.8670003,1.774786,60.43,3.7550154,1.7235659,58.68,Jalandhar,52
INDIA,IND,2021,68.09,160.33,68.31,35.473618,19.384392,2,1392329000,9.355507,4.2628875,160.33,3.973158,1.8105556,68.09,3.9859955,1.8161811,68.31,Jalandhar,58
INDIA,IND,2021,68.09,160.33,68.31,35.473618,19.384392,2,1392329000,9.355507,4.2628875,160.33,3.973158,1.8105556,68.09,3.9859955,1.8161811,68.31,Jaipur,57
INDIA,IND,2017,52.63,135.82,21.54,24.908186,15.966991,2,1392329000,9.232171,4.154272,135.82,3.577449,1.6097115,52.63,1.4641507,0.65895945,21.54,Kanpur,119
INDIA,IND,2018,60.31,139.75,36.33,27.22409,16.694954,2,1392329000,8.850651,3.9928124,139.75,3.8195543,1.7231226,60.31,2.3008525,1.0380032,36.33,Kanpur,88
INDIA,IND,2019,63.31,162.07,46.27,31.511576,18.691542,2,1392329000,9.99254,4.503677,162.07,3.9034224,1.7594463,63.31,2.8528092,1.2857383,46.27,Kanpur,48
INDIA,IND,2020,60.43,163.71,58.68,32.93788,20.205925,2,1392329000,10.476033,4.808334,163.71,3.8670003,1.774786,60.43,3.7550154,1.7235659,58.68,Kanpur,89
INDIA,IND,2021,68.09,160.33,68.31,35.473618,19.384392,2,1392329000,9.355507,4.2628875,160.33,3.973158,1.8105556,68.09,3.9859955,1.8161811,68.31,Kanpur,83
JAPAN,JPN,2017,6.49,83.42,55.07,30.140001,17.35597,11,124310000,8.2676735,3.987219,83.42,0.6432175,0.2930232,6.49,5.4579334,2.72758,55.07,Yokote,13
JAPAN,JPN,2018,7.18,80.63,62.67,33.15,18.14418,11,124310000,7.9669185,4.0763874,80.63,0.7094441,0.32391658,7.18,6.192321,3.1218371,62.67,Yokote,15
JAPAN,JPN,2019,7.58,79.82,69.38,35.94,19.422329,11,124310000,8.044263,3.7758522,79.82,0.7639127,0.34603184,7.58,6.9921184,3.4736295,69.38,Yokote,16
JAPAN,JPN,2021,8.96,79.14,88.7,39.93,22.610664,11,124310000,8.2563925,4.1224623,79.14,0.9347647,0.4380678,8.96,9.253753,4.5807147,88.7,Yokote,16
PAKISTAN,PAK,2017,2.1,27.65,0.92,1.72,24.616203,5,241499431,21.013832,8.534332,27.65,1.5959871,0.49811807,2.1,0.6991944,0.27804953,0.92,Karachi,38
PAKISTAN,PAK,2018,3.16,37.01,0.92,1.58,30.500359,5,241499431,26.454609,8.028025,37.01,2.2587564,0.7711612,3.16,0.6576126,0.27864158,0.92,Karachi,34
PAKISTAN,PAK,2019,2.88,35.28,0.93,1.43,29.787548,5,241499431,25.935455,9.684885,35.28,2.11718,0.8437624,2.88,0.6836727,0.2864914,0.93,Karachi,40
PAKISTAN,PAK,2020,2.88,37.38,1.03,1.43,31.209818,5,241499431,27.30859,10.754805,37.38,2.1040328,0.7348301,2.88,0.7524839,0.32403708,1.03,Karachi,44
PAKISTAN,PAK,2021,2.88,39,1.26,1.52,29.739628,5,241499431,25.970568,9.204771,39,1.9178265,0.8383562,2.88,0.8390491,0.37054947,1.26,Karachi,46
PHILIPPINES,PHL,2017,1.09,9.52,1.2,11.540001,24.743032,12,112892781,10.087952,4.8121514,9.52,1.1550281,0.5475472,1.09,1.2715906,0.6014198,1.2,Balanga,22
PHILIPPINES,PHL,2018,1.15,9.29,1.25,12.04,23.784706,12,112892781,9.311417,4.544078,9.29,1.1526512,0.5583021,1.15,1.2528816,0.60488373,1.25,Balanga,16
PHILIPPINES,PHL,2019,1.04,7.94,1.26,12.54,21.47436,12,112892781,7.4849167,3.7595663,7.94,0.98039216,0.4879688,1.04,1.1877828,0.58373094,1.26,Balanga,11
PHILIPPINES,PHL,2021,1.17,8,1.5,13.27,22.125694,12,112892781,7.3937154,4.48094,8,1.0813308,0.59779865,1.17,1.3863217,0.7015576,1.5,Balanga,5
TURKEY,TUR,2018,19.95,59.94,7.8,10.08,32.176003,17,85279553,19.72619,8.9715605,59.94,6.565524,2.9859848,19.95,2.5669718,1.1674696,7.8,Giresun,14
TURKEY,TUR,2019,21.73,88.82,9.25,12.46,43.680435,17,85279553,29.33386,12.763903,88.82,7.176591,3.1227176,21.73,3.0549226,1.3292031,9.25,Giresun,22
TURKEY,TUR,2020,24.83,78.09,10.95,14.469999,42.02082,17,85279553,25.568068,11.462695,78.09,8.129788,3.644287,24.83,3.5852268,1.6072723,10.95,Giresun,21
TURKEY,TUR,2021,31.21,55.74,12.97,17.12,35.32963,17,85279553,16.825645,7.6846533,55.74,9.421034,4.296244,31.21,3.915117,1.7707769,12.97,Giresun,24
UNITED KINGDOM,GBR,2017,49.64,5.88,11.46,31.87,29.498657,22,67026292,1.7547001,0.6966149,5.88,14.813488,5.879209,49.64,3.4198747,1.3590866,11.46,London,13
UNITED KINGDOM,GBR,2018,56.91,5.44,12.74,34.94,33.29198,22,67026292,1.645991,0.6435993,5.44,17.219364,6.7286425,56.91,3.8547654,1.4978864,12.74,London,12
UNITED KINGDOM,GBR,2019,64.33,5.93,12.92,37.3,37.456863,22,67026292,1.8436189,0.70517886,5.93,20,7.694952,64.33,4.0167885,1.5174066,12.92,London,11
UNITED KINGDOM,GBR,2020,73.64,6.68,13.32,38.1,42.8604,22,67026292,2.1732764,0.90444535,6.68,23.958096,10.093023,73.64,4.3335395,1.7620461,13.32,London,10
UNITED KINGDOM,GBR,2021,65.02,5.59,12.47,39.12,39.783825,22,67026292,1.8198984,0.6580011,5.59,21.16812,8.457683,65.02,4.0597734,1.6249489,12.47,London,10
UNITED STATES,USA,2017,254.3,293.84,77.28,81.770004,17.451527,3,335893238,7.2511725,3.0593252,293.84,6.275433,2.6476958,254.3,1.9070604,0.8045766,77.28,Los Angles,24
UNITED STATES,USA,2018,272.67,286.62,93.36,80.520004,17.44999,3,335893238,6.8217683,2.8621294,286.62,6.4897485,2.7228076,272.67,2.2220373,0.9323259,93.36,Los Angles,21
UNITED STATES,USA,2019,295.88,282.61,106.89,75.38,18.294624,3,335893238,6.796156,2.8319073,282.61,7.115271,2.9648738,295.88,2.5704722,1.0711253,106.89,Los Angles,19
UNITED STATES,USA,2020,337.94,279.95,130.72,72.79,20.315693,3,335893238,6.924006,3.0197885,279.95,8.358273,3.645264,337.94,3.2330987,1.4100589,130.72,Los Angles,14
UNITED STATES,USA,2021,378.2,246.47,164.42,72.49,20.749863,3,335893238,5.9358606,2.6109571,246.47,9.10838,3.88673,378.2,3.9598093,1.6754191,164.42,Los Angles,18
VIETNAM,VNM,2018,0.49,84.49,0.1,0.12621,40.733303,15,100000000,40.38912,20.58052,84.49,0.23423682,0.11862744,0.49,0.04780343,0.025574816,0.1,Hanoi,41
VIETNAM,VNM,2019,0.72,66.54,5.25,0.12621,31.940903,15,100000000,29.25864,14.55137,66.54,0.31659484,0.15788656,0.72,2.308504,1.1484587,5.25,Hanoi,47
VIETNAM,VNM,2020,1.07,73.38,10.86,0.12621,36.29567,15,100000000,31.172472,16.430325,73.38,0.4545455,0.24042295,1.07,4.6134243,2.431568,10.86,Hanoi,38
VIETNAM,VNM,2021,2.39,75.9,25.77,0.1580361,42.578747,15,100000000,31.008701,16.551159,75.9,0.9764269,0.5215315,2.39,10.528251,5.6196747,25.77,Hanoi,36
BRAZIL,BRA,2017,42.06,370.91,0.83,50.6,79.90915,7,203062512,63.822357,28.998528,370.91,7.23725,3.3128626,42.06,0.14281783,0.06503355,0.83,Ribeirao Preto,6
BRAZIL,BRA,2018,48.12,388.97,3.44,52.13,82.919846,7,203062512,65.467735,30.113998,388.97,8.099101,3.7529275,48.12,0.5789881,0.26798302,3.44,Ribeirao Preto,11
BRAZIL,BRA,2019,55.43,397.88,6.59,52.69,82.85489,7,203062512,64.313194,30.07191,397.88,8.959687,4.2314444,55.43,1.0652055,0.5029592,6.59,Ribeirao Preto,8
BRAZIL,BRA,2020,56.48,396.33,10.64,56.56,84.641174,7,203062512,64.50999,31.22798,396.33,9.193157,4.4946084,56.48,1.7318554,0.84678334,10.64,Ribeirao Preto,7
BRAZIL,BRA,2021,71.5,362.82,16.75,57.6,76.7711,7,203062512,54.75867,27.199343,362.82,10.791149,5.4190493,71.5,2.5279965,1.2558651,16.75,Ribeirao Preto,12
